distance,time,phase
3884.4779240877792,2025-03-18 09:01:28.908545654,P
4596.09438703015,2025-03-18 09:01:28.932453857,P
4588.359425476428,2025-03-18 09:01:28.932453857,P
4572.889502368986,2025-03-18 09:01:28.932453857,P
4580.624463922707,2025-03-18 09:01:28.932453857,P
4611.564310137593,2025-03-18 09:01:28.956362061,P
4634.769194798757,2025-03-18 09:01:28.980270264,P
4650.2391179062,2025-03-18 09:01:29.004178467,P
4665.7090410136425,2025-03-18 09:01:29.028086670,P
4696.648887228528,2025-03-18 09:01:29.028086670,P
4719.853771889692,2025-03-18 09:01:29.051994873,P
4743.0586565508565,2025-03-18 09:01:29.075903076,P
4735.323694997135,2025-03-18 09:01:29.075903076,P
4750.793618104578,2025-03-18 09:01:29.075903076,P
4773.998502765742,2025-03-18 09:01:29.099811279,P
4804.938348980628,2025-03-18 09:01:29.123719482,P
4835.878195195513,2025-03-18 09:01:29.147627686,P
4866.818041410399,2025-03-18 09:01:29.171536133,P
4905.492849179006,2025-03-18 09:01:29.171536133,P
4913.227810732727,2025-03-18 09:01:29.171536133,P
4920.962772286449,2025-03-18 09:01:29.171536133,P
4928.69773384017,2025-03-18 09:01:29.171536133,P
4944.167656947613,2025-03-18 09:01:29.171536133,P
4982.84246471622,2025-03-18 09:01:29.195444336,P
5021.517272484828,2025-03-18 09:01:29.195444336,P
5284.505965311356,2025-03-18 09:01:29.219352539,P
5315.445811526241,2025-03-18 09:01:29.219352539,P
5346.385657741127,2025-03-18 09:01:29.219352539,P
5369.590542402291,2025-03-18 09:01:29.219352539,P
5477.880004154392,2025-03-18 09:01:29.219352539,P
5408.265350170898,2025-03-18 09:01:29.219352539,P
5416.00031172462,2025-03-18 09:01:29.219352539,P
5431.4702348320625,2025-03-18 09:01:29.219352539,P
5245.831157542749,2025-03-18 09:01:29.219352539,P
5392.7954270634555,2025-03-18 09:01:29.219352539,P
5230.361234435306,2025-03-18 09:01:29.219352539,P
5191.686426666699,2025-03-18 09:01:29.219352539,P
5207.156349774142,2025-03-18 09:01:29.219352539,P
5199.42138822042,2025-03-18 09:01:29.219352539,P
5176.216503559256,2025-03-18 09:01:29.219352539,P
5145.2766573443705,2025-03-18 09:01:29.219352539,P
5122.071772683206,2025-03-18 09:01:29.219352539,P
5098.866888022042,2025-03-18 09:01:29.219352539,P
5091.131926468321,2025-03-18 09:01:29.219352539,P
5083.396964914599,2025-03-18 09:01:29.219352539,P
5075.662003360878,2025-03-18 09:01:29.219352539,P
5060.192080253435,2025-03-18 09:01:29.219352539,P
5222.626272881585,2025-03-18 09:01:29.219352539,P
5539.759696584163,2025-03-18 09:01:29.243260741,P
5586.1694659064915,2025-03-18 09:01:29.243260741,P
5702.193889212313,2025-03-18 09:01:29.267168945,P
5725.398773873477,2025-03-18 09:01:29.267168945,P
5678.989004551148,2025-03-18 09:01:29.267168945,P
5655.784119889984,2025-03-18 09:01:29.267168945,P
5632.57923522882,2025-03-18 09:01:29.267168945,P
5671.254042997427,2025-03-18 09:01:29.267168945,P
5756.338620088362,2025-03-18 09:01:29.291077148,P
5764.073581642084,2025-03-18 09:01:29.314985352,P
5771.808543195805,2025-03-18 09:01:29.314985352,P
5787.278466303248,2025-03-18 09:01:29.314985352,P
5802.748389410691,2025-03-18 09:01:29.338893555,P
7071.282084221006,2025-03-18 09:01:29.362801758,P
7249.186199956598,2025-03-18 09:01:29.362801758,P
7241.451238402877,2025-03-18 09:01:29.362801758,P
7225.981315295434,2025-03-18 09:01:29.362801758,P
7218.2463537417125,2025-03-18 09:01:29.362801758,P
7125.426815097056,2025-03-18 09:01:29.362801758,P
7179.5715459731055,2025-03-18 09:01:29.362801758,P
7156.366661311941,2025-03-18 09:01:29.362801758,P
7264.656123064041,2025-03-18 09:01:29.362801758,P
7094.48696888217,2025-03-18 09:01:29.362801758,P
7079.017045774727,2025-03-18 09:01:29.362801758,P
7195.041469080548,2025-03-18 09:01:29.362801758,P
7280.126046171484,2025-03-18 09:01:29.362801758,P
7396.150469477305,2025-03-18 09:01:29.362801758,P
7318.800853940091,2025-03-18 09:01:29.362801758,P
7349.740700154976,2025-03-18 09:01:29.362801758,P
