distance,picks,Phase,channel
5164.8,2025-03-18 09:01:29.219352576,P,538
5174.4,2025-03-18 09:01:29.219352576,P,539
5184.0,2025-03-18 09:01:29.219352576,P,540
5193.6,2025-03-18 09:01:29.219352576,P,541
5203.2,2025-03-18 09:01:29.219352576,P,542
5212.8,2025-03-18 09:01:29.219352576,P,543
5222.4,2025-03-18 09:01:29.219352576,P,544
5232.0,2025-03-18 09:01:29.219352576,P,545
5241.6,2025-03-18 09:01:29.219352576,P,546
5251.2,2025-03-18 09:01:29.219352576,P,547
5260.8,2025-03-18 09:01:29.219352576,P,548
5270.4,2025-03-18 09:01:29.219352576,P,549
5280.0,2025-03-18 09:01:29.219352576,P,550
5289.6,2025-03-18 09:01:29.219352576,P,551
